Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;72.245.617;0,392
B3SA3;B3;ON      NM;5.602.790.110;16,317
BPAN4;BANCO PAN;PN      N1;327.696.379;0,792
BRSR6;BANRISUL;PNB     N1;202.536.440;0,567
BBSE3;BBSEGURIDADE;ON  ED  NM;671.750.768;5,467
BBDC3;BRADESCO;ON      N1;1.317.184.231;4,181
BBDC4;BRADESCO;PN      N1;4.542.363.206;16,1
BBAS3;BRASIL;ON      NM;2.842.247.534;18,775
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;9,469
CXSE3;CAIXA SEGURI;ON      NM;517.500.000;1,723
CLSA3;CLEARSALE;ON      NM;55.609.742;0,094
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,848
ITUB3;ITAUUNIBANCO;ON      N1;190.827.953;1,391
ITUB4;ITAUUNIBANCO;PN      N1;2.381.972.600;20,02
PSSA3;PORTO SEGURO;ON      NM;181.531.496;1,354
SANB11;SANTANDER BR;UNT;342.918.449;2,405
WIZC3;WIZ CO;ON      NM;75.273.443;0,105
